country,region,lat,long,country_code,decade,value
Afghanistan,Asia,33.93911,67.709953,AFG,1990, 
Afghanistan,Asia,33.93911,67.709953,AFG,2000,34.776955108
Afghanistan,Asia,33.93911,67.709953,AFG,2010,75.4520542255556
Albania,Europe,41.153332,20.168331,ALB,1990, 
Albania,Europe,41.153332,20.168331,ALB,2000,
Albania,Europe,41.153332,20.168331,ALB,2010,99.9857142857143
Algeria,Africa,28.033886,1.659626,DZA,1990,
Algeria,Africa,28.033886,1.659626,DZA,2000,98.74726868
Algeria,Africa,28.033886,1.659626,DZA,2010,99.5547659788889
American Samoa,Oceania,-14.270972,-170.132217,ASM,1990,
American Samoa,Oceania,-14.270972,-170.132217,ASM,2000,
American Samoa,Oceania,-14.270972,-170.132217,ASM,2010,
Andorra,Europe,42.546245,1.601554,AND,1990,100.0
Andorra,Europe,42.546245,1.601554,AND,2000,100.0
Andorra,Europe,42.546245,1.601554,AND,2010,100.0
Angola, Africa, -11.202692,17.873887,AGO,1990,
Angola, Africa, -11.202692,17.873887,AGO,2000,28.5537776944444
Angola, Africa,-11.202692,17.873887,AGO,2010,37.8247517055556
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,1990,
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2000,98.114073792
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2010,99.2267410133333
Argentina, South America, -38.416097,-63.616672,ARG,1990,
Argentina, South America, -38.416097,-63.616672,ARG,2000,96.79094112
Argentina, South America, -38.416097,-63.616672,ARG,2010,99.6510383088889
Armenia, Asia, 40.069099,45.038189,ARM,1990,
Armenia, Asia, 40.069099,45.038189,ARM,2000,99.26298935
Armenia, Asia, 40.069099,45.038189,ARM,2010,99.9310095888889
Aruba, South America, 12.52111,-69.968338,ABW,1990,
Aruba, South America, 12.52111,-69.968338,ABW,2000,99.1660398
Aruba, South America, 12.52111,-69.968338,ABW,2010,99.2618102388889
Australia, Oceania, -25.274398,133.775136,AUS,1990,100.0
Australia, Oceania, -25.274398,133.775136,AUS,2000,100.0
Australia, Oceania, -25.274398,133.775136,AUS,2010,100.0
Austria, Europe, 47.516231,14.550072,AUT,1990,100.0
Austria, Europe, 47.516231,14.550072,AUT,2000,100.0
Austria, Europe, 47.516231,14.550072,AUT,2010,100.0
Azerbaijan, Asia, 40.143105,47.576927,AZE,1990,97.0
Azerbaijan, Asia, 40.143105,47.576927,AZE,2000,99.367493846
Azerbaijan, Asia, 40.143105,47.576927,AZE,2010,99.9820326066667
Bahrain, Asia, 25.930414,50.637772,BHR,1990,100.0
Bahrain, Asia, 25.930414,50.637772,BHR,2000,100.0
Bahrain, Asia, 25.930414,50.637772,BHR,2010,100.0
Bangladesh,Asia,23.684994,90.356331,BGD,1990,20.04433751
Bangladesh,Asia,23.684994,90.356331,BGD,2000,43.478263084
Bangladesh,Asia,23.684994,90.356331,BGD,2010,69.3128216722222
Barbados,North America,13.193887,-59.543198,BRB,1990,100.0
Barbados,North America,13.193887,-59.543198,BRB,2000,99.998545075
Barbados,North America,13.193887,-59.543198,BRB,2010,100.0
Belarus,Europe,53.709807,27.953389,BLR,1990,100.0
Belarus,Europe,53.709807,27.953389,BLR,2000,100.0
Belarus,Europe,53.709807,27.953389,BLR,2010,100.0
Belgium,Europe,50.503887,4.469936,BEL,1990,100.0
Belgium,Europe,50.503887,4.469936,BEL,2000,100.0
Belgium,Europe,50.503887,4.469936,BEL,2010,100.0
Belize,North America,17.189877,-88.49765,BLZ,1990,73.4132707366667
Belize,North America,17.189877,-88.49765,BLZ,2000,84.547443174
Belize,North America,17.189877,-88.49765,BLZ,2010,94.1957122211111
Benin,Africa,9.30769,2.315834,BEN,1990,18.00643921
Benin,Africa,9.30769,2.315834,BEN,2000,26.100593452
Benin,Africa,9.30769,2.315834,BEN,2010,36.8809468588889
Bermuda,North America,32.321384,-64.75737,BMU,1990,100.0
Bermuda,North America,32.321384,-64.75737,BMU,2000,100.0
Bermuda,North America,32.321384,-64.75737,BMU,2010,100.0
Bhutan,Asia,27.514162,90.433601,BTN,1990,
Bhutan,Asia,27.514162,90.433601,BTN,2000,53.868480613
Bhutan,Asia,27.514162,90.433601,BTN,2010,90.8927307933333
Bolivia,South America,-16.290154,-63.588653,BOL,1990,66.19463504
Bolivia,South America,-16.290154,-63.588653,BOL,2000,74.774108345
Bolivia,South America,-16.290154,-63.588653,BOL,2010,90.7787906444444
