country,region,lat,long,country_code,decade,value
Afghanistan,Asia,33.93911,67.709953,AFG,1990,11.306256037562000
Afghanistan,Asia,33.93911,67.709953,AFG,2000,11.42308153923780
Afghanistan,Asia,33.93911,67.709953,AFG,2010,10.941788895890000
Albania,Europe,41.153332,20.168331,ALB,1990,-1
Albania,Europe,41.153332,20.168331,ALB,2000,-1
Albania,Europe,41.153332,20.168331,ALB,2010,-1
Algeria,Africa,28.033886,1.659626,DZA,1990,6.89830035016641
Algeria,Africa,28.033886,1.659626,DZA,2000,6.869116337802790
Algeria,Africa,28.033886,1.659626,DZA,2010,6.549692218662980
American Samoa,Oceania,-14.270972,-170.132217,ASM,1990,-1
American Samoa,Oceania,-14.270972,-170.132217,ASM,2000,-1
American Samoa,Oceania,-14.270972,-170.132217,ASM,2010,-1
Andorra,Europe,42.546245,1.601554,AND,1990,-1
Andorra,Europe,42.546245,1.601554,AND,2000,-1
Andorra,Europe,42.546245,1.601554,AND,2010,-1
Angola, Africa,-11.202692,17.873887,AGO,1990,14.59129615874940
Angola, Africa,-11.202692,17.873887,AGO,2000,19.661156501880600
Angola, Africa,-11.202692,17.873887,AGO,2010,24.58256052122680
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,1990,-1
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2000,-1
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2010,-1
Argentina, South America,-38.416097,-63.616672,ARG,1990,43.17044840644180
Argentina, South America,-38.416097,-63.616672,ARG,2000,43.34814452674380
Argentina, South America,-38.416097,-63.616672,ARG,2010,43.50305345128450
Armenia, Asia,40.069099,45.038189,ARM,1990,34.93497399705750
Armenia, Asia,40.069099,45.038189,ARM,2000,36.52153128462410
Armenia, Asia,40.069099,45.038189,ARM,2010,36.72196097928850
Aruba, South America,12.52111,-69.968338,ABW,1990,-1
Aruba, South America,12.52111,-69.968338,ABW,2000,-1
Aruba, South America,12.52111,-69.968338,ABW,2010,-1
Australia, Oceania,-25.274398,133.775136,AUS,1990,60.862003400096000
Australia, Oceania,-25.274398,133.775136,AUS,2000,58.56721178056910
Australia, Oceania,-25.274398,133.775136,AUS,2010,60.1646223516124
Austria, Europe,47.516231,14.550072,AUT,1990,19.55181166469460
Austria, Europe,47.516231,14.550072,AUT,2000,19.85312032734160
Austria, Europe,47.516231,14.550072,AUT,2010,21.18443550423060
Azerbaijan, Asia,40.143105,47.576927,AZE,1990,23.18587385450150
Azerbaijan, Asia,40.143105,47.576927,AZE,2000,22.32033930996360
Azerbaijan, Asia,40.143105,47.576927,AZE,2010,22.91192427017920
Bahrain, Asia,25.930414,50.637772,BHR,1990,-1
Bahrain, Asia,25.930414,50.637772,BHR,2000,-1
Bahrain, Asia,25.930414,50.637772,BHR,2010,-1
Bangladesh,Asia,23.684994,90.356331,BGD,1990,9.383705831895380
